epoch;accuracy;loss;val_accuracy;val_loss
0;0.9294478297233582;0.18785777688026428;0.9501438140869141;0.12110444158315659
1;0.9541794657707214;0.12490079551935196;0.9328858852386475;0.1768724024295807
2;0.9595475196838379;0.1070384830236435;0.9539788961410522;0.13775421679019928
3;0.9560966491699219;0.11769731342792511;0.948226273059845;0.138152077794075
4;0.9710506200790405;0.0840873271226883;0.9654842019081116;0.08619661629199982
5;0.9689416885375977;0.0832538902759552;0.9635666608810425;0.09386888146400452
6;0.9654908180236816;0.08505591005086899;0.9578139781951904;0.10595136135816574
7;0.9702837467193604;0.07373285293579102;0.9606903195381165;0.10062661021947861
8;0.9748849868774414;0.0704571008682251;0.9606903195381165;0.10569103062152863
0;0.9175613522529602;0.21143898367881775;0.9530201554298401;0.15050344169139862
1;0.9530291557312012;0.1282680183649063;0.9520613551139832;0.15941618382930756
2;0.9612730145454407;0.10653992742300034;0.9443911910057068;0.18469420075416565
3;0.9549463391304016;0.11589790135622025;0.945349931716919;0.17543703317642212
