epoch;accuracy;loss;val_accuracy;val_loss
0;0.8051761388778687;0.43006622791290283;0.9520613551139832;0.1827583909034729
1;0.9125329256057739;0.22220289707183838;0.9674017429351807;0.13266462087631226
2;0.9321830868721008;0.1766960471868515;0.9654842019081116;0.11513170599937439
3;0.9374550580978394;0.1639672964811325;0.9702780246734619;0.10873126238584518
4;0.9460819363594055;0.14226117730140686;0.9674017429351807;0.09931239485740662
5;0.9460819363594055;0.14215229451656342;0.9664429426193237;0.09679071605205536
6;0.9487179517745972;0.13607072830200195;0.9654842019081116;0.09465192258358002
7;0.9491972327232361;0.13435658812522888;0.9664429426193237;0.09059969335794449
8;0.951114296913147;0.12711741030216217;0.9693192839622498;0.08724472671747208
9;0.9515935778617859;0.12568600475788116;0.9712368249893188;0.08453086018562317
10;0.951114296913147;0.12450278550386429;0.9702780246734619;0.08404408395290375
11;0.9515935778617859;0.12986359000205994;0.9712368249893188;0.08106473833322525
12;0.9566259384155273;0.11407912522554398;0.9702780246734619;0.0815470740199089
13;0.9539899230003357;0.12280554324388504;0.9693192839622498;0.07893267273902893
14;0.9530314207077026;0.11887416988611221;0.9741131067276001;0.07793814688920975
15;0.9551880955696106;0.11847525835037231;0.9741131067276001;0.07635463774204254
16;0.9566259384155273;0.1121782660484314;0.975071907043457;0.07678373903036118
17;0.9575845003128052;0.11479158699512482;0.975071907043457;0.0755428895354271
18;0.9561466574668884;0.11369840800762177;0.9712368249893188;0.08196402341127396
19;0.9575845003128052;0.11672679334878922;0.972195565700531;0.07822353392839432
20;0.9578241109848022;0.1085527166724205;0.972195565700531;0.07527917623519897
21;0.9573448300361633;0.10862207412719727;0.975071907043457;0.07377856969833374
22;0.9537503123283386;0.11656706035137177;0.976030707359314;0.0727844089269638
23;0.9566259384155273;0.11716759204864502;0.976030707359314;0.07204312086105347
24;0.9566259384155273;0.11333239078521729;0.9702780246734619;0.07444090396165848
