epoch;accuracy;loss;val_accuracy;val_loss
0;0.7940624952316284;0.43523937463760376;0.9606903195381165;0.16228346526622772
1;0.9021875262260437;0.24834436178207397;0.9664429426193237;0.12408875674009323
2;0.9293749928474426;0.19137343764305115;0.9558964371681213;0.1203172504901886
3;0.9381250143051147;0.1654677540063858;0.9539788961410522;0.11381920427083969
4;0.9321874976158142;0.1811933070421219;0.9674017429351807;0.0958041399717331
5;0.948437511920929;0.1454753279685974;0.9674017429351807;0.09393537789583206
6;0.9446874856948853;0.15236327052116394;0.9702780246734619;0.09079871326684952
7;0.9549999833106995;0.1352735161781311;0.9693192839622498;0.08873213827610016
8;0.9453125;0.14009326696395874;0.9654842019081116;0.09391390532255173
9;0.9546874761581421;0.126581609249115;0.9626078605651855;0.0988556370139122
10;0.9434375166893005;0.15180528163909912;0.9635666608810425;0.09440340101718903
11;0.9565625190734863;0.12292394787073135;0.9712368249893188;0.08461440354585648
12;0.9487500190734863;0.1305476278066635;0.972195565700531;0.0790792778134346
13;0.9565625190734863;0.11677689850330353;0.972195565700531;0.08341291546821594
14;0.9459375143051147;0.13781076669692993;0.9626078605651855;0.09648707509040833
15;0.9549999833106995;0.1164049506187439;0.9731543660163879;0.07828474789857864
16;0.9462500214576721;0.13245683908462524;0.9693192839622498;0.08527547121047974
17;0.9574999809265137;0.11655975133180618;0.9683604836463928;0.0858372300863266
18;0.9549999833106995;0.12039782851934433;0.972195565700531;0.08350130170583725
19;0.9543750286102295;0.11493900418281555;0.9626078605651855;0.10328070819377899
