epoch;accuracy;loss;val_accuracy;val_loss
0;0.802540123462677;0.6589619517326355;0.9463087320327759;0.17189480364322662
1;0.8995926380157471;0.36701956391334534;0.9443911910057068;0.13897478580474854
2;0.9146896600723267;0.30933013558387756;0.9530201554298401;0.11721456050872803
3;0.9273903369903564;0.2750435173511505;0.9520613551139832;0.11356950551271439
4;0.9355379939079285;0.2408265918493271;0.9568552374839783;0.10601166635751724
5;0.931224524974823;0.25812992453575134;0.9520613551139832;0.10999870300292969
6;0.9388929009437561;0.24124373495578766;0.9549376964569092;0.10458461940288544
7;0.9381739497184753;0.22088466584682465;0.9568552374839783;0.10419809073209763
8;0.9448837637901306;0.21669453382492065;0.9635666608810425;0.09172103554010391
9;0.9405703544616699;0.22673790156841278;0.9664429426193237;0.08661161363124847
10;0.9451234340667725;0.21956582367420197;0.9597315192222595;0.09967032819986343
11;0.9475197792053223;0.2069191038608551;0.9558964371681213;0.10987923294305801
12;0.9451234340667725;0.20584680140018463;0.9693192839622498;0.08570101857185364
13;0.9444044828414917;0.19976931810379028;0.9606903195381165;0.09762557595968246
14;0.941528856754303;0.20272605121135712;0.9674017429351807;0.08729054033756256
15;0.9477593898773193;0.20396552979946136;0.9645254015922546;0.09453748911619186
16;0.9482386708259583;0.1975804567337036;0.9616490602493286;0.10456521064043045
